window	chr1-win_start	chr1-win_end	chr1-n_bases	chr1-gc_bases	chr1-exon_bases	chr1-simple_rep_bases	chr1-complex_rep_bases	chr2-win_start	chr2-win_end	chr2-n_bases	chr2-gc_bases	chr2-exon_bases	chr2-simple_rep_bases	chr2-complex_rep_bases	chr3-win_start	chr3-win_end	chr3-n_bases	chr3-gc_bases	chr3-exon_bases	chr3-simple_rep_bases	chr3-complex_rep_bases	chr4-win_start	chr4-win_end	chr4-n_bases	chr4-gc_bases	chr4-exon_bases	chr4-simple_rep_bases	chr4-complex_rep_bases	chr5-win_start	chr5-win_end	chr5-n_bases	chr5-gc_bases	chr5-exon_bases	chr5-simple_rep_bases	chr5-complex_rep_bases	chr6-win_start	chr6-win_end	chr6-n_bases	chr6-gc_bases	chr6-exon_bases	chr6-simple_rep_bases	chr6-complex_rep_bases	chr7-win_start	chr7-win_end	chr7-n_bases	chr7-gc_bases	chr7-exon_bases	chr7-simple_rep_bases	chr7-complex_rep_bases	chr8-win_start	chr8-win_end	chr8-n_bases	chr8-gc_bases	chr8-exon_bases	chr8-simple_rep_bases	chr8-complex_rep_bases	chr9-win_start	chr9-win_end	chr9-n_bases	chr9-gc_bases	chr9-exon_bases	chr9-simple_rep_bases	chr9-complex_rep_bases	chr10-win_start	chr10-win_end	chr10-n_bases	chr10-gc_bases	chr10-exon_bases	chr10-simple_rep_bases	chr10-complex_rep_bases	chr11-win_start	chr11-win_end	chr11-n_bases	chr11-gc_bases	chr11-exon_bases	chr11-simple_rep_bases	chr11-complex_rep_bases	chr12-win_start	chr12-win_end	chr12-n_bases	chr12-gc_bases	chr12-exon_bases	chr12-simple_rep_bases	chr12-complex_rep_bases	chr13-win_start	chr13-win_end	chr13-n_bases	chr13-gc_bases	chr13-exon_bases	chr13-simple_rep_bases	chr13-complex_rep_bases	chr14-win_start	chr14-win_end	chr14-n_bases	chr14-gc_bases	chr14-exon_bases	chr14-simple_rep_bases	chr14-complex_rep_bases	chr15-win_start	chr15-win_end	chr15-n_bases	chr15-gc_bases	chr15-exon_bases	chr15-simple_rep_bases	chr15-complex_rep_bases	chr16-win_start	chr16-win_end	chr16-n_bases	chr16-gc_bases	chr16-exon_bases	chr16-simple_rep_bases	chr16-complex_rep_bases	chr17-win_start	chr17-win_end	chr17-n_bases	chr17-gc_bases	chr17-exon_bases	chr17-simple_rep_bases	chr17-complex_rep_bases	chr18-win_start	chr18-win_end	chr18-n_bases	chr18-gc_bases	chr18-exon_bases	chr18-simple_rep_bases	chr18-complex_rep_bases	chr19-win_start	chr19-win_end	chr19-n_bases	chr19-gc_bases	chr19-exon_bases	chr19-simple_rep_bases	chr19-complex_rep_bases	chr20-win_start	chr20-win_end	chr20-n_bases	chr20-gc_bases	chr20-exon_bases	chr20-simple_rep_bases	chr20-complex_rep_bases	chr21-win_start	chr21-win_end	chr21-n_bases	chr21-gc_bases	chr21-exon_bases	chr21-simple_rep_bases	chr21-complex_rep_bases	chr22-win_start	chr22-win_end	chr22-n_bases	chr22-gc_bases	chr22-exon_bases	chr22-simple_rep_bases	chr22-complex_rep_bases	chr23-win_start	chr23-win_end	chr23-n_bases	chr23-gc_bases	chr23-exon_bases	chr23-simple_rep_bases	chr23-complex_rep_bases	chr24-win_start	chr24-win_end	chr24-n_bases	chr24-gc_bases	chr24-exon_bases	chr24-simple_rep_bases	chr24-complex_rep_bases	chr25-win_start	chr25-win_end	chr25-n_bases	chr25-gc_bases	chr25-exon_bases	chr25-simple_rep_bases	chr25-complex_rep_bases	chr26-win_start	chr26-win_end	chr26-n_bases	chr26-gc_bases	chr26-exon_bases	chr26-simple_rep_bases	chr26-complex_rep_bases	chr27-win_start	chr27-win_end	chr27-n_bases	chr27-gc_bases	chr27-exon_bases	chr27-simple_rep_bases	chr27-complex_rep_bases	chr28-win_start	chr28-win_end	chr28-n_bases	chr28-gc_bases	chr28-exon_bases	chr28-simple_rep_bases	chr28-complex_rep_bases	chr32-win_start	chr32-win_end	chr32-n_bases	chr32-gc_bases	chr32-exon_bases	chr32-simple_rep_bases	chr32-complex_rep_bases	chrW-win_start	chrW-win_end	chrW-n_bases	chrW-gc_bases	chrW-exon_bases	chrW-simple_rep_bases	chrW-complex_rep_bases	chrZ-win_start	chrZ-win_end	chrZ-n_bases	chrZ-gc_bases	chrZ-exon_bases	chrZ-simple_rep_bases	chrZ-complex_rep_bases
window1	0	9810127	2955	4159054	1201046	205720	1192234	0	7478036	1977	3372212	1595414	130236	753300	0	5565106	3841	2387520	1355264	92496	455870	0	4564132	914	2253775	1696508	63595	179561	0	2991265	563	1320796	1027902	41573	256337	0	1773350	500000	519973	196646	12492	101357	0	1847346	3	723111	336391	19649	111027	0	1498150	0	575437	325442	17438	73267	0	1204578	511635	307682	313527	10958	41030	0	1021767	500201	249963	176358	5757	95135	0	1010939	161	478630	376187	63209	71633	0	997407	1	450425	242601	18358	141006	0	920373	500600	206576	90332	9220	79631	0	779752	33	303315	267430	11921	60713	0	638142	0	275598	239941	6934	27798	0	32616	0	16841	11210	11114	307	0	547820	500000	26624	4228	21183	11505	0	552686	0	244889	205186	24613	116429	0	498991	1	264218	254449	8138	47903	0	705468	100	355347	277636	57260	71042	0	343136	1	160978	265141	8694	14871	0	236487	0	110736	110995	6161	18673	0	289326	0	141630	144542	4262	18567	0	314027	0	156826	209673	5928	15655	0	145315	872	81922	86547	7933	20626	0	265688	0	134071	179267	9824	5955	0	282789	7467	128855	83166	3514	103994	0	248713	0	118740	69230	2945	60666	0	3912	0	2598	1205	353	NA	0	258001	16364	106827	7615	1139	160540	0	4115508	6000	1750605	601868	105150	463654
window2	9810127	19620254	3147	3792680	1078114	176362	1194846	7478036	14956072	15356	2947274	959359	117609	557917	5565106	11130212	101	2320232	890604	87723	401192	4564132	9128264	1	1746679	526434	56607	204767	2991265	5982530	185197	1106526	268242	37679	316263	1773350	3546700	1	713340	310212	19284	123909	1847346	3694692	7808	793689	668971	16362	73284	1498150	2996300	3	584070	337600	16819	59309	1204578	2409156	0	528053	249833	8369	87053	1021767	2043534	1271	494713	474881	9222	64833	1010939	2021878	58	530858	571675	13147	56328	997407	1994814	1034	484798	222283	12522	99548	920373	1840746	1685	463235	351736	26249	89996	779752	1559504	0	334511	342060	6622	16442	638142	1276284	1	284770	206212	6836	12242	32616	65232	0	18790	12041	912	167	547820	1095640	1689	292590	236880	10694	72841	552686	1105372	0	260665	185555	4247	58794	498991	997982	740	260176	107594	6639	31780	705468	1410936	0	334320	269398	6398	47919	343136	686272	0	181669	239817	5060	7585	236487	472974	0	106388	94668	3501	17985	289326	578652	0	136188	81578	5774	19881	314027	628054	0	165217	88881	3811	11766	145315	290630	13169	71418	15822	23273	16347	265688	531376	1	150964	139947	3726	6216	282789	565578	0	143306	62329	4645	95428	248713	497426	0	117733	23213	1591	36442	3912	7824	0	2419	615	157	NA	258001	516002	141117	52704	NA	374	93304	4115508	8231016	200	1675407	322282	124573	690661
window3	19620254	29430381	3400	3778401	983008	148330	1004293	14956072	22434108	2	2993102	1229310	93464	537907	11130212	16695318	501152	2143227	1096140	58668	314558	9128264	13692396	1	1970023	1079198	45123	225501	5982530	8973795	326650	1069369	777420	26916	180338	3546700	5320050	1	708069	212401	17810	139488	3694692	5542038	265	812700	693564	13264	94348	2996300	4494450	1486	667900	355747	14276	55711	2409156	3613734	0	542746	159916	9228	139291	2043534	3065301	2427	518541	403975	17185	47016	2021878	3032817	228064	373253	159728	25861	61841	1994814	2992221	1	512578	482974	14019	73435	1840746	2761119	701	464665	248773	13908	50237	1559504	2339256	0	352878	160147	4953	24433	1276284	1914426	0	291301	268752	5731	11165	65232	97848	630	19911	24523	2294	246	1095640	1643460	0	278841	191460	8461	36889	1105372	1658058	0	258004	40824	5265	49711	997982	1496973	642	227708	66009	5088	25884	1410936	2116404	300	328792	142224	8334	80687	686272	1029408	0	175499	118478	5509	6630	472974	709461	0	106117	32374	3100	6502	578652	867978	0	139672	58610	8515	21621	628054	942081	0	153195	17717	2811	11468	290630	435945	145315	0	NA	NA	NA	531376	797064	827	148716	70718	4394	4942	565578	848367	814	142847	49940	2572	31052	497426	746139	0	114511	78430	2556	32238	7824	11736	100	2541	3198	220	NA	516002	774003	24591	105096	3572	453	176333	8231016	12346524	0	1768393	1202316	60953	506967
window4	29430381	39240508	1663	3916309	1312088	133134	909764	22434108	29912144	28217	2854137	876512	119524	575864	16695318	22260424	103	2268003	1051263	60927	353003	13692396	18256528	8776	1886694	798939	51340	291924	8973795	11965060	103	1185811	597489	30426	152475	5320050	7093400	1143	714136	120620	15260	169857	5542038	7389384	50247	818450	697375	24911	199687	4494450	5992600	0	723510	617382	14288	66153	3613734	4818312	1	583501	648145	15443	63167	3065301	4087068	1	430373	436763	10998	45262	3032817	4043756	272127	297560	98048	22233	31488	2992221	3989628	1	445185	239458	15559	47946	2761119	3681492	1870	416524	138344	7466	46901	2339256	3119008	1	373339	315886	8570	22937	1914426	2552568	0	282699	25998	3818	11011	97848	130464	0	19111	47182	1039	224	1643460	2191280	0	261851	155174	4615	40045	1658058	2210744	1	282143	104734	8714	38062	1496973	1995964	0	224658	14482	4715	23413	2116404	2821872	53784	328563	80858	8083	37602	1029408	1372544	0	166451	37802	3624	5641	709461	945948	0	97956	98404	1678	8516	867978	1157304	538	142138	87220	4866	16109	942081	1256108	0	144292	32920	9743	7543	435945	581260	145315	0	NA	NA	NA	797064	1062752	0	137376	519284	2752	7970	848367	1131156	58019	108988	37381	1858	45422	746139	994852	1	139931	181347	9877	10497	11736	15648	0	2364	1425	40	NA	774003	1032004	0	117603	924	1262	195911	12346524	16462032	0	1595571	367748	76683	637438
window5	39240508	49050635	7533	3834383	1377817	163952	928686	29912144	37390180	169549	2918599	983013	113133	517086	22260424	27825530	2	2221201	950977	64051	321633	18256528	22820660	539434	1576630	649971	82705	728229	11965060	14956325	16279	1264595	824478	33980	157334	7093400	8866750	1	726561	328322	17734	111273	7389384	9236730	451586	556327	168656	20817	115615	5992600	7490750	463	690997	783362	14252	70066	4818312	6022890	27713	541936	709288	12675	43619	4087068	5108835	0	405107	276056	10771	39962	4043756	5054695	0	413107	79141	10140	25319	3989628	4987035	0	379836	233587	11436	53708	3681492	4601865	0	362843	55798	8511	48363	3119008	3898760	0	338129	172958	6609	16994	2552568	3190710	1	262331	161339	5014	9392	130464	163080	0	15564	55509	1159	688	2191280	2739100	1	272368	320589	5351	39300	2210744	2763430	1100	272551	91062	7382	28377	1995964	2494955	1	221298	15921	3246	34364	2821872	3527340	0	310132	90237	4519	45299	1372544	1715680	0	142819	165523	2902	4279	945948	1182435	0	103422	20333	2860	11772	1157304	1446630	618	157746	35806	15356	18710	1256108	1570135	0	146166	110549	2054	6515	581260	726575	145315	0	NA	NA	NA	1062752	1328440	9697	157820	128060	12914	4677	1131156	1413945	42963	108874	39695	3343	43912	994852	1243565	4912	147621	175048	19155	2814	15648	19560	0	2216	208	NA	51	1032004	1290005	38161	103581	NA	3493	173006	16462032	20577540	0	1620347	396006	66477	628892
window6	49050635	58860762	730	4236329	2049895	133499	913852	37390180	44868216	2339	3063205	1064867	77286	632687	27825530	33390636	3533	2275927	958579	68484	356942	22820660	27384792	799	1718192	420057	73952	516015	14956325	17947590	523	1319953	1236560	31185	133127	8866750	10640100	100	763983	485427	15566	146972	9236730	11084076	2	755425	274431	17856	90223	7490750	8988900	86064	587873	172787	19566	201732	6022890	7227468	0	456177	78313	12385	62092	5108835	6130602	0	402972	276003	10864	46321	5054695	6065634	200	380092	169854	12861	46762	4987035	5984442	1	402762	287448	9246	33937	4601865	5522238	2	368123	229608	9713	35759	3898760	4678512	794	388081	318235	11660	18597	3190710	3828852	2	249845	191397	4802	12395	163080	195696	0	17051	29910	657	1345	2739100	3286920	0	265773	319172	8603	28767	2763430	3316116	0	252344	115278	5494	28620	2494955	2993946	0	233492	186646	4483	20338	3527340	4232808	31835	315099	216231	5507	41024	1715680	2058816	1	141526	233858	3177	5452	1182435	1418922	2032	123839	107956	6981	5801	1446630	1735956	0	132753	152338	2470	27096	1570135	1884162	0	158382	118464	2702	8846	726575	871890	51586	51767	11137	20600	8548	1328440	1594128	0	143754	126259	4318	6350	1413945	1696734	0	162672	246497	12127	11003	1243565	1492278	1275	142583	143123	14911	6008	19560	23472	0	2291	NA	NA	NA	1290005	1548006	0	120114	5533	2035	181180	20577540	24693048	700	1663698	887365	59976	483215
window7	58860762	68670889	859	4051397	2416806	114829	900665	44868216	52346252	24796	3002509	1102662	99553	797945	33390636	38955742	870	2183434	989979	64209	429037	27384792	31948924	11751	1782704	705486	63258	410845	17947590	20938855	200	1142837	583298	38795	179387	10640100	12413450	11708	814926	968472	21469	85462	11084076	12931422	1	775916	884673	18076	66661	8988900	10487050	101	589120	392022	24241	238749	7227468	8432046	2	505511	235315	11213	45178	6130602	7152369	1	403498	306573	8709	50314	6065634	7076573	100	413542	138208	11529	38493	5984442	6981849	283	433528	312061	9844	30024	5522238	6442611	100	341428	366	11409	54433	4678512	5458264	0	402453	462772	12844	19962	3828852	4466994	0	259205	27499	4479	21873	195696	228312	398	17882	41334	1025	848	3286920	3834740	0	253230	45451	4721	31474	3316116	3868802	1	247705	128954	5342	21883	2993946	3492937	0	221154	117106	4670	19382	4232808	4938276	1	314367	53774	9240	33902	2058816	2401952	0	163885	157703	2727	5907	1418922	1655409	843	122275	51921	5124	7090	1735956	2025282	2080	158506	96439	8716	12923	1884162	2198189	0	164466	38495	5003	13444	871890	1017205	101	74826	61864	5189	6863	1594128	1859816	0	146156	274554	4389	2441	1696734	1979523	639	156506	130165	16631	10672	1492278	1740991	0	125339	107103	4202	9619	23472	27384	0	2208	223	NA	NA	1548006	1806007	46494	92630	3045	702	134085	24693048	28808556	50000	1671763	769403	68857	718919
window8	68670889	78481016	503732	3858325	1938244	134227	1836517	52346252	59824288	528091	2763352	826291	117841	1755539	38955742	44520848	98	2263110	780820	69201	412463	31948924	36513056	3	1808593	715595	49603	289555	20938855	23930120	1	1266846	1080663	30976	155721	12413450	14186800	908	658149	394929	26051	106605	12931422	14778768	0	739239	467382	20781	79955	10487050	11985200	500001	377113	285417	20113	131967	8432046	9636624	0	482946	347325	13194	44751	7152369	8174136	300	403339	241382	10071	39729	7076573	8087512	0	386226	159961	8698	46485	6981849	7979256	0	372074	408550	11582	48414	6442611	7362984	0	350141	44168	9000	52392	5458264	6238016	1	375590	184061	6877	28049	4466994	5105136	2	306122	150312	10871	16312	228312	260928	0	17166	30085	1431	644	3834740	4382560	2	262069	23615	6240	35795	3868802	4421488	0	277532	249574	8558	25329	3492937	3991928	0	224458	77753	3781	27689	4938276	5643744	0	361778	380592	8678	17459	2401952	2745088	0	166232	234413	2418	8838	1655409	1891896	0	102118	3841	1120	4687	2025282	2314608	1262	166560	113348	10065	4853	2198189	2512216	949	165197	72471	3787	11881	1017205	1162520	0	69106	54094	1126	1732	1859816	2125504	1	137979	357647	4140	5706	1979523	2262312	0	129950	554	2082	14975	1740991	1989704	100	126817	51867	3763	11550	27384	31296	0	2470	1425	74	285	1806007	2064008	0	118624	11030	922	199169	28808556	32924064	0	1571713	544191	115589	976689
window9	78481016	88291143	76345	4077087	2028009	114339	929678	59824288	67302324	1000	3132881	948904	89684	705077	44520848	50085954	827	2170462	857262	67648	418686	36513056	41077188	1	1816852	1065949	53049	296702	23930120	26921385	1966	1254906	1201773	26321	116302	14186800	15960150	0	710838	405315	18736	73385	14778768	16626114	1	739132	427060	20331	72962	11985200	13483350	11172	579252	326139	19143	69664	9636624	10841202	1	474361	383430	13712	37464	8174136	9195903	1364	427900	253237	10669	32699	8087512	9098451	100	417338	151632	10854	39991	7979256	8976663	0	387345	356506	10430	32792	7362984	8283357	0	366817	185903	9713	47726	6238016	7017768	0	391757	431282	10684	16793	5105136	5743278	0	289136	319953	5288	12305	260928	293544	368	15578	8216	376	441	4382560	4930380	0	240697	32030	6975	32302	4421488	4974174	1	277637	377795	6870	16593	3991928	4490919	0	251423	291247	8183	15613	5643744	6349212	3	291542	331639	7002	22333	2745088	3088224	0	185314	98047	9409	7823	1891896	2128383	0	108108	34403	1707	7053	2314608	2603934	343	150922	101894	5299	9669	2512216	2826243	0	144697	243096	2028	7043	1162520	1307835	101	77868	88350	2764	1605	2125504	2391192	0	138555	164020	3189	2550	2262312	2545101	0	135395	39271	1983	15655	1989704	2238417	100	137735	101535	6474	6254	31296	35208	0	2584	4784	100	NA	2064008	2322009	50000	96574	4616	1011	145427	32924064	37039572	50000	1593283	673916	73497	635311
window10	88291143	98101270	54589	3746949	1363685	157343	1070868	67302324	74780360	1529	2816504	382320	149303	1030700	50085954	55651060	2609	2224904	1152966	74585	428480	41077188	45641320	42796	1704104	219118	66892	418156	26921385	29912650	103	1248679	892586	29600	142483	15960150	17733500	201	800458	940143	21220	71621	16626114	18473460	1065	753245	503258	20454	64605	13483350	14981500	2	600095	568791	16067	56768	10841202	12045780	163	467139	125761	22212	47577	9195903	10217670	742	399624	246626	10276	40667	9098451	10109390	1	389053	153670	10333	34043	8976663	9974070	2	477350	348922	9745	42967	8283357	9203730	201	462661	352415	8059	36296	7017768	7797520	0	346962	337080	7428	30474	5743278	6381420	2	284029	520637	7403	14221	293544	326160	382	17353	10826	1194	1335	4930380	5478200	2607	268369	177942	6394	17021	4974174	5526860	100	231668	161945	4345	14340	4490919	4989910	1	240472	91861	5161	24284	6349212	7054680	0	290824	173425	6219	23461	3088224	3431360	0	160335	56545	2965	5203	2128383	2364870	0	124797	169862	6770	3340	2603934	2893260	0	144812	349438	4945	8780	2826243	3140270	0	143974	203795	3622	6165	1307835	1453150	621	87204	149822	5727	998	2391192	2656880	0	134057	203499	2690	4417	2545101	2827890	1	143957	233431	5137	22045	2238417	2487130	101	136799	233126	13538	4286	35208	39120	0	2813	3025	986	NA	2322009	2580010	34954	102596	1161	962	144019	37039572	41155080	0	1595978	511246	83468	704660
